"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.000404269844824295,0.00123930414167174,0.326207128041193,0.744267905250545
"2","NOTEETH",0.114822857348049,0.00191107976347261,60.0827132088955,0
"3","FEWTEETH",0.0695639397297507,0.00157789714424118,44.086485601192,0
"4","MOSTTEETH",0.0189618661468493,0.00125704683771235,15.0844547537761,2.15262776746677e-51
"5","MALE",0.0616768563002232,0.00107870027268973,57.1770100200608,0
"6","AGE1",0.0206114247281564,0.00135732837324091,15.1852898196935,4.65462512651621e-52
"7","AGE2",0.0514179622024007,0.00148256362822955,34.6817912050109,5.7611992639158e-263
"8","AGE3",0.0810020240157083,0.00186112557056836,43.5231374479324,0
