"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.0508387244519975,0.000858810199154296,59.1966938702642,0
"2","NOTEETH",0.129846401302771,0.00190315406398539,68.2269521737298,0
"3","FEWTEETH",0.0823155955606424,0.00157535526220763,52.2520840443883,0
"4","MOSTTEETH",0.0264186819698975,0.00126276870070633,20.9212359754564,4.11022391321319e-97
