"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.949161275542894,0.000858810199154287,1105.20494106565,0
"2","NOTEETH",-0.129846401303005,0.00190315406398537,-68.2269521738537,0
"3","FEWTEETH",-0.0823155955603264,0.00157535526220761,-52.2520840441882,0
"4","MOSTTEETH",-0.026418681969927,0.00126276870070632,-20.9212359754799,4.11022391118942e-97
